College,Name,Jersey,Position,Class Year,Height,Weight,B/T,High School,Hometown,Season
Texas A&M University,Terrence Kiel II,3,INF/OF,Fr.,73,185,R/R,Pace Academy,"Atlanta, Ga.",2025
Texas A&M University,Gavin Kash,4,INF/OF,Sr.,75,215,L/R,Monsignor Kelly Catholic,"Sour Lake, Texas",2025
Texas A&M University,Sawyer Farr,5,INF,Fr.,76,190,S/R,Boswell,"Fort Worth, Texas",2025
Texas A&M University,Kaeden Kent,6,INF,Jr.,74,200,L/R,Lake Travis,"Austin, Texas",2025
Texas A&M University,Wyatt Henseler,8,INF,Gr.,73,215,R/R,Emmaus,"Emmaus, Penn.",2025
Texas A&M University,Gavin Grahovac,9,INF/OF,So.,74,220,R/R,Villa Park,"Orange, Calif.",2025
Texas A&M University,Ben Royo,10,INF,Jr.,74,200,R/R,Veterans,"Corpus Christi, Texas",2025
Texas A&M University,Hayden Schott,12,OF,Gr.,74,220,L/R,Culver Military Academy,"Newport Beach, Calif.",2025
Texas A&M University,Caden Sorrell,13,OF,So.,75,205,L/L,Marcus,"Highland Village, Texas",2025
Texas A&M University,Isaac Morton,14,RHP,So.,75,190,R/R,Spring Lake Park,"Blaine, Minn.",2025
Texas A&M University,Matt Bergevin,15,INF,Gr.,76,250,R/R,Marcos De Niza,"Tempe, Ariz.",2025
Texas A&M University,Bear Harrison,16,C,So.,75,230,R/R,De La Salle,"Danville, Calif.",2025
Texas A&M University,Jace LaViolette,17,OF,Jr.,78,230,L/L,Tompkins,"Katy, Texas",2025
Texas A&M University,Ryan Prager,18,LHP,R-Jr.,75,200,L/L,Hillcrest,"Dallas, Texas",2025
Texas A&M University,Troy Wansing,19,LHP,Sr.,76,225,L/L,Staley,"Kansas City, Mo.",2025
Texas A&M University,Aiden Sims,20,RHP,Fr.,74,180,L/R,Forney,"Forney, Texas",2025
Texas A&M University,Weston Moss,21,RHP,So.,76,190,R/R,Montgomery Lake Creek,"Montgomery, Texas",2025
Texas A&M University,Myles Patton,23,LHP,Jr.,75,205,L/L,Millikan,"Long Beach, Calif.",2025
Texas A&M University,Clayton Freshcorn,25,RHP,So.,72,180,R/R,Waller,"Waller, Texas",2025
Texas A&M University,Gavin Lyons,27,RHP,Fr.,75,200,R/R,Hamden Hall,"Guilford, Conn.",2025
Texas A&M University,Caden McCoy,28,LHP,Fr.,75,220,R/L,Bloomington North,"Bloomington, Ind.",2025
Texas A&M University,Kaiden Wilson,30,LHP,So.,74,200,L/L,Raymore-Peculiar,"Raymore, Mo.",2025
Texas A&M University,Grant Cunningham,31,RHP,Jr.,75,225,R/R,Seattle Prep,"Seattle, Wash.",2025
Texas A&M University,Brad Rudis,32,RHP,Sr.,72,195,R/R,Madisonville,"Madisonville, Texas",2025
Texas A&M University,Justin Lamkin,33,LHP,Jr.,76,210,R/L,Calallen,"Corpus Christi, Texas",2025
Texas A&M University,Josh Stewart,34,RHP,Sr.,74,195,R/R,St. Dominic Savio Catholic,"Georgetown, Texas",2025
Texas A&M University,Sam Erickson,35,OF,Fr.,73,215,R/L,Flower Mound,"Flower Mound, Texas",2025
Texas A&M University,Ty Baker,37,RHP,R-Fr.,76,230,R/R,Second Baptist Academy,"Houston, Texas",2025
Texas A&M University,Shane Sdao,38,LHP,Jr.,74,170,L/L,Lake Creek,"Montgomery, Texas",2025
Texas A&M University,Houston Tomlinson,39,RHP,Fr.,73,180,R/R,Grand Oaks,"Spring, Texas",2025
Texas A&M University,Blayne Lyne,40,RHP,Fr.,78,205,R/R,London,"Corpus Christi, Texas",2025
Texas A&M University,Jackson Brasseux,41,LHP,R-Fr.,73,190,L/L,North Lamar,"Paris, Texas",2025
Texas A&M University,Luke Jackson,44,RHP,R-So.,74,190,R/R,Lake Travis,"Austin, Texas",2025
Texas A&M University,Nathan Tobin,45,OF,Fr.,71,190,L/R,VR Eaton,"Haslet, Texas",2025
